combination,country,correction_bnusd_per_mha
cotton_wheat,AFG,-7.5
cotton_wheat,AGO,1.1395045518875122
cotton_wheat,ALB,7.5
cotton_wheat,ARG,7.5
cotton_wheat,ARM,7.5
cotton_wheat,AUS,-4.461640119552612
cotton_wheat,AZE,7.5
cotton_wheat,BDI,-0.2991076707839966
cotton_wheat,BGD,4.077630162239075
cotton_wheat,BGR,7.5
cotton_wheat,BOL,7.5
cotton_wheat,BRA,6.224097728729248
cotton_wheat,BWA,-7.5
cotton_wheat,CHN,-1.824917197227478
cotton_wheat,COD,-0.7659951448440552
cotton_wheat,DZA,7.5
cotton_wheat,EGY,-0.1346101313829422
cotton_wheat,ESP,-7.5
cotton_wheat,ETH,-7.5
cotton_wheat,GEO,7.5
cotton_wheat,GRC,-7.5
cotton_wheat,HND,0.3533838987350464
cotton_wheat,IND,-2.354461669921875
cotton_wheat,IRN,-7.5
cotton_wheat,IRQ,1.952459692955017
cotton_wheat,ISR,-1.7147215008735657
cotton_wheat,JOR,2.026819586753845
cotton_wheat,KAZ,-7.5
cotton_wheat,KEN,1.2501034140586853
cotton_wheat,KGZ,0.10438260436058044
cotton_wheat,KOR,7.5
cotton_wheat,LBN,7.5
cotton_wheat,LSO,0.0
cotton_wheat,MAR,0.1779220998287201
cotton_wheat,MDG,0.40048739314079285
cotton_wheat,MEX,1.7310048341751099
cotton_wheat,MKD,3.650235176086426
cotton_wheat,MMR,7.5
cotton_wheat,MOZ,-0.5930871367454529
cotton_wheat,MWI,3.614379733800888
cotton_wheat,NAM,-6.951157808303833
cotton_wheat,NER,3.4184142351150513
cotton_wheat,NGA,-1.5156207084655762
cotton_wheat,NPL,7.5
cotton_wheat,OMN,-0.0
cotton_wheat,PAK,-2.9188971519470215
cotton_wheat,PRT,7.5
cotton_wheat,PRY,2.4487847089767456
cotton_wheat,PSE,-1.0843596756458282
cotton_wheat,ROU,-0.0
cotton_wheat,RUS,7.5
cotton_wheat,RWA,0.5000569224357605
cotton_wheat,SDN,-2.463996171951294
cotton_wheat,SOM,0.0
cotton_wheat,SWZ,0.004297681152820587
cotton_wheat,SYR,-7.5
cotton_wheat,TJK,-0.6850486397743225
cotton_wheat,TKM,-0.9454076886177063
cotton_wheat,TUN,7.5
cotton_wheat,TUR,-7.5
cotton_wheat,TZA,-0.4976106584072113
cotton_wheat,UGA,0.18378448858857155
cotton_wheat,URY,7.5
cotton_wheat,USA,1.7806386947631836
cotton_wheat,UZB,-2.502100497484207
cotton_wheat,YEM,0.2878640592098236
cotton_wheat,ZAF,-4.456833839416504
cotton_wheat,ZMB,7.5
cotton_wheat,ZWE,-7.5
double_rice,AFG,7.5
double_rice,AGO,7.5
double_rice,ALB,-0.0
double_rice,ARG,7.5
